trial_type,trial_index,time_elapsed,exp_name,date,time,angle_mean_in,radius_mean_in,angle_sd_in,radius_sd_in,angle_min_out,angle_max_out,radius_min_out,radius_max_out,sub_n,age,race,ethnicity,gender,exp_duration,rt,response,exp_trial_type,screen_id,angle,radius,distribution,choice,correct
canvas-keyboard-response,779,4052328,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1324,i,learn,learn_trial,26.6667,120,out,0,1
canvas-keyboard-response,784,4055288,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1358,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,789,4057625,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,734,i,learn,learn_trial,10,110,out,0,1
canvas-keyboard-response,794,4060345,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1111,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,799,4062592,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,640,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,804,4064945,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,750,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,809,4067623,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1081,i,learn,learn_trial,30,100,out,0,1
canvas-keyboard-response,814,4070008,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,782,u,learn,learn_trial,27.5753,70.3839,in,1,1
canvas-keyboard-response,819,4072440,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,836,i,learn,learn_trial,36.6667,60,out,0,1
canvas-keyboard-response,824,4075856,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1812,u,learn,learn_trial,22.0121,75.8068,in,1,1
canvas-keyboard-response,829,4078376,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,913,u,learn,learn_trial,26.6667,80,out,1,0
canvas-keyboard-response,834,4081528,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1046,i,learn,learn_trial,30,90,out,0,1
canvas-keyboard-response,839,4083647,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,521,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,844,4085977,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,728,i,learn,learn_trial,10,30,out,0,1
canvas-keyboard-response,849,4088264,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,682,i,learn,learn_trial,36.6667,110,out,0,1
canvas-keyboard-response,854,4090984,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1124,i,learn,learn_trial,13.3333,60,out,0,1
