date,sub_n,trial_type,trial_num,line_len,distribution,jnds,key_choice,yn_choice,correct,rt
20210928,101,learn,126,196.2656,in,5.51,u,YES,TRUE,1882
20210928,101,learn,127,290.1153,in,13.52,i,NO,FALSE,734
20210928,101,learn,128,204.8759,out,6.39,u,YES,FALSE,674
20210928,101,learn,129,318.7615,out,15.45,i,NO,TRUE,726
20210928,101,learn,130,162.972,out,1.7,i,NO,TRUE,1012
20210928,101,learn,131,177.9319,out,3.5,u,YES,FALSE,814
20210928,101,learn,132,271.7546,in,12.18,i,NO,FALSE,1244
20210928,101,learn,133,302.3998,out,14.37,i,NO,TRUE,734
20210928,101,learn,134,232.019,in,8.94,u,YES,TRUE,844
20210928,101,learn,135,343.8027,out,17,i,NO,TRUE,624
20210928,101,learn,136,292.2463,in,13.67,u,YES,TRUE,680
20210928,101,learn,137,351.2632,out,17.44,i,NO,TRUE,594
20210928,101,learn,138,242.9078,in,9.88,u,YES,TRUE,640
20210928,101,learn,139,300.928,out,14.27,i,NO,TRUE,1090
20210928,101,learn,140,259.6994,in,11.25,u,YES,TRUE,620
20210928,101,learn,141,259.5727,in,11.24,u,YES,TRUE,702
20210928,101,learn,142,157.5,out,1,i,NO,TRUE,516
20210928,101,learn,143,186.2824,in,4.44,u,YES,TRUE,1656
20210928,101,learn,144,260.715,in,11.33,i,NO,FALSE,1564
20210928,101,learn,145,235.0957,in,9.21,u,YES,TRUE,932
20210928,101,learn,146,223.5732,in,8.18,u,YES,TRUE,782
20210928,101,learn,147,255.801,out,10.94,u,YES,FALSE,924
20210928,101,learn,148,228.0906,out,8.59,u,YES,FALSE,668
20210928,101,learn,149,303.4343,in,14.44,i,NO,FALSE,666
20210928,101,learn,150,287.8593,in,13.36,i,NO,FALSE,1028
20210928,101,learn,151,367.2103,out,18.35,i,NO,TRUE,592
20210928,101,learn,152,244.931,out,10.05,u,YES,FALSE,836
20210928,101,learn,153,179.0641,in,3.63,u,YES,TRUE,1324
20210928,101,learn,154,225.3253,in,8.34,u,YES,TRUE,568
20210928,101,learn,155,245.4095,in,10.09,u,YES,TRUE,780
20210928,101,learn,156,204.9759,in,6.4,u,YES,TRUE,1052
20210928,101,learn,157,264.3011,in,11.61,i,NO,FALSE,644
20210928,101,learn,158,204.3767,out,6.34,u,YES,FALSE,1044
20210928,101,learn,159,172.2094,out,2.83,i,NO,TRUE,740
20210928,101,learn,160,348.1918,out,17.26,i,NO,TRUE,734
20210928,101,learn,161,243.7389,in,9.95,i,NO,FALSE,1194
20210928,101,learn,162,367.7482,out,18.38,i,NO,TRUE,646
20210928,101,learn,163,335.8447,out,16.52,i,NO,TRUE,1336
20210928,101,learn,164,441.7966,out,22.14,i,NO,TRUE,5142
20210928,101,learn,165,158.6569,out,1.15,i,NO,TRUE,1630
20210928,101,learn,166,352.1211,out,17.49,i,NO,TRUE,958
20210928,101,learn,167,212.3044,in,7.12,u,YES,TRUE,474
20210928,101,learn,168,231.4537,in,8.89,u,YES,TRUE,572
20210928,101,learn,169,226.3169,out,8.43,u,YES,FALSE,834
20210928,101,learn,170,433.4695,out,21.75,i,NO,TRUE,504
20210928,101,learn,171,241.7256,in,9.78,u,YES,TRUE,618
20210928,101,learn,172,268.0673,out,11.9,u,YES,FALSE,736
20210928,101,learn,173,234.2942,in,9.14,u,YES,TRUE,682
20210928,101,learn,174,302.2523,out,14.36,i,NO,TRUE,790
